stasjonsnr,Stasjonsnavn,Måleparameter,Versjon,Målested,Stasjontype,Status (i drift/nedlagt),Målestart (dato),Data kontrollert fra (dato),Data kontrollert til (dato),Evt. nedlagt (dato),Normal årsavrenning (l/s km2),Totalt feltareal (km2),"Bratthet (1085-gradient, m/km)",Myrprosent,Effektiv sjøprosent,Jordbruksprosent,Skogprosent,Innsjøprosent,Snaufjellprosent,Urbantareal prosent,Breprosent,Elvegradient (m/km),Elvelengde (km),Elvenavnhierarki,Elvetetthet (m/km),Vassdragsomr. nr.,Vassdragsomr. navn,Reguleringsgrad areal,"Reguleringsgrad mag,",Måleparameter kode,Høyde 10 persentil (m),Høyde 90 persentil (m),Medianhøyde (m),Høyeste punkt (m),Laveste punkt (m),Høyde over havet (m),ObjektID
6.9.0,"Akerselva, ndf. Maridalsvatn",Vannføring,2,Ikke angitt,"Privat, ikke pålagt",I drift,36526.583333333336,2000-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,208.97,10.79,2.4,4.1399999999999997,1.44,83.19,12.44,0,0.03,0,11.8,41.76,Nordmarkvassdraget,1978.28,006,Nordmarkvassdraget/kyst Gjersjøelva-Bygdøy,1,0.35,1001,254,612,445,716,148,149,3430
2.268.0,Akslen,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,22595.583333333332,1961-11-10T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,789.27,17.41,1.02,0.06,0.73,12.3,2.42,70.75,0,10.31,21.91,48.03,Bøvri/Otta/Vorma-Lågen/Glommavassdraget,1219.7,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,1013,2056,1526,2464,471,480,832
121.20.0,Åmot,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,31989.583333333332,1987-07-31T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,282.67,12.94,14.03,0.7,3.35,61.41,5.57,13.28,0.01,0,21.96,39.479999999999997,Svorka/Orkla,1657.07,121,Orkla/Orkdalsfjorden,0,0,1001,309,801,497,1215,199,210,13678
166.3.0,Andkilvatn,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,22160.583333333332,1960-09-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,249.4,27.84,0.67,5.18,0.04,7.59,14.73,66.599999999999994,0,6.99,23.77,38.75,Fagerbakkvassdraget,2424.91,166,Fagerbakkvassdraget og Laksåga/Sørfolda sør,0.71,1.06,1001,370,1135,907,1419,1,20,16304
186.2.0,Ånesvatn,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,35692.583333333336,1997-09-19T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,47.04,14.86,25.39,7.64,1.51,33.89,11.25,22.53,0,0,22.01,14.18,Åelva,1330.62,186,Andøya,0,0,1001,16,383,135,609,9,10,16824
26.20.0,Årdal,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,25603.583333333332,1970-05-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,77.25,23.19,2.25,2.2999999999999998,1.96,38.28,9.17,25.02,0,0,32.07,17.649999999999999,Moisåni/Sira,1821.77,026,Sira og Sokna/kyst Hidra-Sokndal,0,0,1001,284,642,518,747,109,105,8381
74.1.0,Årdalsvatn,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,92.583333333333329,1900-04-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,978.68,29.74,0.5,1.47,0.03,12.21,8.23,74.239999999999995,0.15,2.9,29.58,53.62,Årdalsvassdraget,1531.03,074,Årdalsvassdraget/Årdalsfjorden,0.5,0.28999999999999998,1001,1027,1681,1372,2396,2,3,11148
2.32.0,Atnasjø,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,Ikke angitt,1984-09-18T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,463.3,9.6300000000000008,2.2799999999999998,1.08,0.5,22.34,1.97,68.44,0,0,12.35,60.39,Atna/Glommavassdraget,1281.58,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,827,1677,1236,2173,689,701,244
2.28.0,Aulestad,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,30682.583333333332,1984-04-13T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,869.75,10.54,13.75,0.05,6.75,58.21,2.67,8.01,0.14000000000000001,0,11.44,66.69,Gausa/Vorma-Lågen/Glommavassdraget,1421.48,002,Glommavassdraget/Hvaler og Singlefjorden,0.8,0.04,1001,561,1105,886,1515,195,200,230
123.21.0,Aune,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,23012.583333333332,1967-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1355.72,11.82,12.1,2.63,0.43,17.940000000000001,9.15,53.32,0.03,0,13.97,64.08,Nidelvvassdraget,1958.8,123,Nidelvvassdraget/Strindfjorden,0.86,0.64,1001,669,1250,891,1789,295,294,14049
